step,time,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,roll,pitch,yaw,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.016666666666666666,-1.7479124e-06,7.8113196e-08,0.015796984,0.99999994,-7.399542e-08,-2.8838147e-05,-3.9749057e-10,-3.14159265279908,5.767629751285419e-05,-1.479908322554735e-07,-0.00017479125,7.81132e-06,1.5796984,-1.487156e-05,-0.0057958756,-7.988744e-08
2,0.03333333333333333,-3.4406892e-06,1.5647325e-07,0.030607114,1.0,-1.661067e-07,-5.4118264e-05,-8.3668356e-10,-3.1415926519344044,0.0001082365269069463,-3.3221331396937614e-07,-0.00016927767,7.836005e-06,1.481013,-1.8515284e-05,-0.005081555,-8.8440096e-08
3,0.05,-8.200782e-07,1.3387782e-07,0.044855345,0.99999994,2.1363468e-07,-2.4533409e-05,4.00589e-10,3.1415926527990976,4.906682007010943e-05,4.272693621132362e-07,0.0002620611,-2.2595427e-06,1.4248232,7.6361575e-05,0.0059491703,2.5194555e-07
4,0.06666666666666667,1.7445187e-06,1.1240015e-07,0.058117334,1.0,5.2138046e-07,1.4940965e-06,1.4402542e-09,3.141592650707727,-2.9881930443398375e-06,1.042760918279484e-06,0.0002564597,-2.1477665e-06,1.3261989,6.181343e-05,0.005227854,2.1145922e-07
5,0.08333333333333333,4.2597394e-06,9.1874135e-08,0.07039347,0.99999994,7.67261e-07,2.4338653e-05,2.4523148e-09,3.141592648647815,-4.867730892810229e-05,1.5345221826557065e-06,0.00025152208,-2.0526018e-06,1.2276137,4.9439008e-05,0.004593337,2.0581523e-07
6,0.1,6.7314786e-06,7.215418e-08,0.08168415,1.0,9.607252e-07,4.4374683e-05,3.4488086e-09,3.141592646606912,-8.874936604863493e-05,1.921450657915713e-06,0.00024717394,-1.9719955e-06,1.1290674,3.896987e-05,0.004035899,2.0287392e-07
7,0.11666666666666667,9.164921e-06,5.311288e-08,0.09198975,0.99999994,1.1104654e-06,6.197661e-05,4.427419e-09,3.141592644597309,-0.00012395322113478713,2.220931499596901e-06,0.00024334418,-1.9041297e-06,1.03056,3.016809e-05,0.0035462487,1.992282e-07
8,0.13333333333333333,1.1564616e-05,3.463834e-08,0.10131066,1.0,1.2243394e-06,7.751888e-05,5.3883076e-09,3.141592642623359,-0.00015503776343761544,2.4486795924261173e-06,0.00023996951,-1.8474541e-06,0.9320916,2.2830847e-05,0.003116106,1.9469613e-07
9,0.15,1.3934559e-05,1.6632335e-08,0.10964728,0.99999994,1.3081061e-06,9.11887e-05,6.3237597e-09,3.141592640703704,-0.0001823774031235459,2.616213544914814e-06,0.00023699428,-1.8006006e-06,0.8336621,1.677929e-05,0.0027381955,1.8943189e-07
10,0.16666666666666666,1.6278256e-05,-9.911802e-10,0.117,0.99999994,1.3671506e-06,0.000103173275,7.227975e-09,3.1415926388517352,-0.00020634656238671667,2.734302916973519e-06,0.00023436961,-1.7623515e-06,0.73527145,1.1854272e-05,0.002406124,1.8360431e-07
11,0.18333333333333332,1.8598781e-05,-1.83072e-08,0.123369195,1.0,1.4063893e-06,0.000113659844,8.09736e-09,3.141592637075373,-0.00022731968683542547,2.812780452332575e-06,0.00023205257,-1.731602e-06,0.6369197,7.911206e-06,0.002114277,1.7735768e-07
12,0.2,2.0898837e-05,-3.5381863e-08,0.12875526,0.99999994,1.4302663e-06,0.00012283561,8.930859e-09,3.141592635376699,-0.00024567123792929024,2.86053491183047e-06,0.0002300055,-1.7074664e-06,0.53860676,4.8341785e-06,0.0018577321,1.7081412e-07
13,0.21666666666666667,2.318079e-05,-5.227252e-08,0.13315858,1.0,1.442641e-06,0.00013088784,9.730332e-09,3.1415926337514803,-0.00026177568208818336,2.8852844979887493e-06,0.00022819538,-1.6890655e-06,0.4403327,2.5083134e-06,0.0016321668,1.640775e-07
14,0.23333333333333334,2.5446721e-05,-6.90306e-08,0.13657956,0.99999994,1.4468914e-06,0.00013800376,1.0500973e-08,3.141592632188492,-0.00027600752958067964,2.8937858469468836e-06,0.00022659317,-1.6758081e-06,0.3420975,8.5643313e-07,0.0014337865,1.5723276e-07
15,0.25,2.7698456e-05,-8.5699995e-08,0.13901857,0.99999994,1.4458108e-06,0.00014418339,1.1229716e-08,3.1415926307134363,-0.00028836679181476477,2.891625004997067e-06,0.00022517348,-1.6669395e-06,0.24390109,-2.2019671e-07,0.0012592704,1.5035393e-07
16,0.26666666666666666,2.9937595e-05,-1.0231977e-07,0.140476,1.0,1.4419559e-06,0.00014961396,1.1926103e-08,3.1415926293061136,-0.00029922791646330715,2.883915380724744e-06,0.00022391397,-1.6619773e-06,0.14574349,-7.8488995e-07,0.0011056953,1.4349976e-07
17,0.2833333333333333,3.2165546e-05,-1.18923765e-07,0.14095224,0.99999994,1.4375867e-06,0.00015429547,1.25782105e-08,3.141592627989744,-0.00030859095703883455,2.8751774436841515e-06,0.00022279505,-1.6604e-06,0.04762467,-9.0574036e-07,0.00097050087,1.3671985e-07
18,0.3,3.438354e-05,-1.3554184e-07,0.14044769,1.0,1.4345138e-06,0.00015841522,1.3201093e-08,3.1415926267331096,-0.00031683043657149135,2.8690318938373593e-06,0.00022179949,-1.6618072e-06,-0.05045538,-6.351019e-07,0.0008514333,1.3005358e-07
19,0.31666666666666665,3.6592664e-05,-1.5220019e-07,0.13896273,0.99999994,1.4344164e-06,0.00016197318,1.3784737e-08,3.141592625555643,-0.00032394637134625093,2.8688374920093906e-06,0.00022091222,-1.6658353e-06,-0.14849666,-2.0417836e-08,0.0007465218,1.235328e-07
20,0.3333333333333333,3.8793863e-05,-1.6892125e-07,0.13649774,0.99999994,1.438742e-06,0.00016515661,1.4351253e-08,3.1415926244120502,-0.0003303132419196775,2.877488884278634e-06,0.00022011997,-1.672106e-06,-0.24649921,8.886785e-07,0.0006540312,1.17183816e-07
21,0.35,4.0987976e-05,-1.857256e-07,0.13305311,1.0,1.4488901e-06,0.00016796551,1.4893662e-08,3.1415926233157405,-0.00033593101805151626,2.8977852626344003e-06,0.00021941117,-1.6804347e-06,-0.34446302,2.0681362e-06,0.0005724492,1.1102397e-07
22,0.36666666666666664,4.3175733e-05,-2.0263053e-07,0.12862922,0.99999994,1.4657938e-06,0.00017039983,1.5404076e-08,3.1415926222820962,-0.00034079967250133514,2.9315931968643127e-06,0.00021877562,-1.6904938e-06,-0.44238815,3.4750067e-06,0.00050043815,1.0506953e-07
23,0.3833333333333333,4.5357774e-05,-2.196516e-07,0.12322648,1.0,1.4897763e-06,0.00017245956,1.587351e-08,3.141592621328919,-0.0003449191246429617,2.979558182625297e-06,0.00021820431,-1.7021067e-06,-0.54027456,5.0861145e-06,0.0004368235,9.9330144e-08
24,0.4,4.7534668e-05,-2.3680205e-07,0.11684526,1.0,1.5235827e-06,0.00017433187,1.6338074e-08,3.141592620382426,-0.0003486637397698278,3.0471711536250723e-06,0.00021768943,-1.715045e-06,-0.6381223,6.871807e-06,0.00038058386,9.3813554e-08
25,0.4166666666666667,4.970691e-05,-2.540938e-07,0.10948595,1.0,1.5634855e-06,0.00017582942,1.6743483e-08,3.1415926195530126,-0.0003516588439713697,3.126977007994469e-06,0.00021722406,-1.7291762e-06,-0.7359314,8.814597e-06,0.00033081288,8.852287e-08
26,0.43333333333333335,5.187493e-05,-2.7153717e-07,0.101148926,0.99999994,1.6132516e-06,0.0001771393,1.7131471e-08,3.1415926187553067,-0.0003542786171981671,3.2265095306627245e-06,0.00021680216,-1.7443372e-06,-0.8337018,1.0893356e-05,0.00028672157,8.346046e-08
27,0.45,5.4039112e-05,-2.8914084e-07,0.09183459,0.99999994,1.6725526e-06,0.0001782613,1.7496443e-08,3.1415926180006,-0.0003565226098973806,3.3451116856486607e-06,0.00021641841,-1.7603681e-06,-0.93143356,1.3087051e-05,0.00024761294,7.862648e-08
28,0.4666666666666667,5.6199795e-05,-3.0691308e-07,0.08154332,0.99999994,1.7400627e-06,0.00017919517,1.783161e-08,3.1415926173029485,-0.00035839034826512517,3.4801320250021917e-06,0.00021606819,-1.7772223e-06,-1.0291268,1.5389563e-05,0.00021288426,7.4017166e-08
29,0.48333333333333334,4.324955e-05,2.8959564e-06,0.08281388,0.9999999,-1.6678066e-05,0.00029172955,1.5635412e-06,3.1415895362376913,-0.0005834592042806008,-3.335522746650277e-05,-0.0012950245,0.00032028696,0.12705661,-0.0036870851,0.02252835,0.00031013676
30,0.5,2.625583e-05,2.4369704e-06,0.08399459,0.99999994,-1.0027337e-05,0.00020997922,1.5430263e-06,3.1415895717479096,-0.00041995848615683506,-2.005402875004947e-05,-0.0016993721,-4.5898603e-05,0.11807064,0.0013307914,-0.016357707,-4.220346e-06
31,0.5166666666666666,1.484114e-05,1.8891842e-06,0.084889546,1.0,-6.6052853e-06,0.00015840853,1.5100619e-06,3.1415896355585713,-0.0003168170687821714,-1.3210092532300877e-05,-0.001141469,-5.4778622e-05,0.08949585,0.0006862268,-0.010341292,-6.6506664e-06
32,0.5333333333333333,6.672177e-06,1.3776263e-06,0.08555792,0.99999994,-3.73368e-06,0.00011900087,1.5032577e-06,3.1415896479626952,-0.00023800176377375415,-7.467002637540077e-06,-0.0008168963,-5.1155796e-05,0.06683763,0.0005745798,-0.007884921,-1.4003379e-06
33,0.55,7.2150357e-07,9.894902e-07,0.08605644,1.0,-1.5224001e-06,8.949633e-05,1.4828744e-06,3.141589688113505,-0.0001789926649853335,-3.0445348242480463e-06,-0.00059506734,-3.881361e-05,0.04985167,0.0004436852,-0.0059198635,-4.120489e-06
34,0.5666666666666667,-3.7606094e-06,6.481328e-07,0.086428225,0.99999994,2.6809803e-07,6.728436e-05,1.5421915e-06,3.141589569170493,-0.0001345687266494089,5.364036339550182e-07,-0.0004482113,-3.413574e-05,0.037178446,0.000360197,-0.0044683167,1.1907247e-05
35,0.5833333333333334,-7.134456e-06,8.7382716e-07,0.08670549,1.0,-1.4164485e-06,5.0515246e-05,1.550527e-06,3.1415895526788273,-0.0001010304956565733,-2.8327404097971964e-06,-0.0003373847,2.2569435e-05,0.027726287,-0.00033844446,-0.0033691588,1.6965885e-06
36,0.6,-9.704945e-06,5.903746e-07,0.08691227,1.0,5.7568366e-07,3.793832e-05,1.5157119e-06,3.141589622122278,-7.587663825781021e-05,1.1514823230474036e-06,-0.0002570489,-2.8345257e-05,0.020677289,0.00040279797,-0.002542961,-7.0561255e-06
37,0.6166666666666667,-1.1702799e-05,8.333963e-07,0.08706626,0.99999994,-1.3101203e-06,2.8194274e-05,1.5198408e-06,3.141589613981898,-5.6388555146780206e-05,-2.6201550500370985e-06,-0.00019978547,2.4302173e-05,0.015399888,-0.00038080398,-0.0019676494,8.4709507e-07
38,0.6333333333333333,-1.345443e-05,5.264771e-07,0.08717596,1.0,8.986336e-07,1.9095462e-05,1.5182749e-06,3.14158961700573,-3.8190920344627344e-05,1.7973251307257243e-06,-0.00017516303,-3.0691925e-05,0.01096973,0.000447486,-0.0018433762,-3.2748238e-07
